Date,LocationID,Week_days,Daily_trips,1_day_lag,2_days_lag,3_days_lag,4_days_lag,5_days_lag,6_days_lag,7_days_lag,8_days_lag,9_days_lag,10_days_lag
2023-01-15,148,Sunday,1974,2286.0,915.0,678.0,573.0,448.0,313.0,1784.0,2095.0,807.0,570.0
2023-01-15,151,Sunday,709,860.0,1011.0,883.0,902.0,846.0,817.0,744.0,927.0,927.0,895.0
2023-01-15,158,Sunday,1164,1325.0,994.0,812.0,713.0,485.0,442.0,898.0,1177.0,832.0,627.0
2023-01-15,161,Sunday,3152,3916.0,4636.0,5627.0,5788.0,5323.0,3953.0,2265.0,3273.0,4306.0,5013.0
2023-01-15,162,Sunday,2279,2784.0,3584.0,4413.0,4299.0,4100.0,3267.0,1938.0,2514.0,3320.0,3869.0
2023-01-15,163,Sunday,2514,3033.0,2962.0,3205.0,3111.0,3104.0,2376.0,1899.0,2375.0,2638.0,2923.0
2023-01-15,164,Sunday,2206,2477.0,2499.0,2569.0,2390.0,2301.0,1742.0,1724.0,2170.0,2047.0,2153.0
2023-01-15,166,Sunday,303,343.0,470.0,492.0,454.0,410.0,412.0,291.0,399.0,487.0,439.0
2023-01-15,170,Sunday,2297,2734.0,3087.0,3493.0,3439.0,3186.0,2556.0,1989.0,2606.0,2949.0,2946.0
2023-01-15,186,Sunday,3318,3515.0,3871.0,4115.0,3931.0,3784.0,3290.0,3002.0,3300.0,3448.0,3241.0
2023-01-15,211,Sunday,951,1159.0,780.0,625.0,559.0,516.0,437.0,755.0,1032.0,716.0,535.0
2023-01-15,229,Sunday,1745,2197.0,2285.0,2352.0,2283.0,2241.0,1842.0,1600.0,2153.0,2189.0,2127.0
2023-01-15,230,Sunday,4069,4270.0,3556.0,3743.0,3783.0,3231.0,2462.0,2969.0,3023.0,2982.0,3115.0
2023-01-15,231,Sunday,973,1283.0,1364.0,1566.0,1492.0,1376.0,1073.0,900.0,1302.0,1266.0,1424.0
2023-01-15,233,Sunday,1004,1225.0,1407.0,1478.0,1358.0,1267.0,1149.0,874.0,1099.0,1171.0,1282.0
2023-01-15,234,Sunday,2464,3135.0,2893.0,3078.0,3175.0,2841.0,2050.0,2012.0,2873.0,2670.0,2611.0
2023-01-15,236,Sunday,2732,3600.0,4930.0,5597.0,5320.0,5304.0,4587.0,3063.0,4171.0,5301.0,5312.0
2023-01-15,237,Sunday,2851,3952.0,5069.0,5893.0,5761.0,5583.0,4550.0,2990.0,4291.0,5177.0,5226.0
